,index,id,imdb_id,title,type,genres,production_countries,release_year,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
6716,6716,tm188970,tt0152183,Bill Hicks: Revelations,MOVIE,comedy,GB,1993.0,74.0,8.5,3085.0,3.88,8.1
6717,6717,tm188970,tt0152183,Bill Hicks: Revelations,MOVIE,documentation,GB,1993.0,74.0,8.5,3085.0,3.88,8.1
6718,6718,tm18904,tt0251094,Gen-Y Cops,MOVIE,action,HK,2000.0,85.0,4.6,968.0,6.078,4.5
6719,6719,tm18904,tt0251094,Gen-Y Cops,MOVIE,scifi,HK,2000.0,85.0,4.6,968.0,6.078,4.5
6720,6720,tm189044,tt0107578,Miracle on Interstate 880,MOVIE,drama,CA,1993.0,90.0,5.9,255.0,0.932,5.5
6721,6721,tm189044,tt0107578,Miracle on Interstate 880,MOVIE,drama,US,1993.0,90.0,5.9,255.0,0.932,5.5
6722,6722,tm189047,tt0069737,Distant Thunder,MOVIE,drama,IN,1973.0,101.0,8.0,1505.0,1.122,6.3
6723,6723,tm189075,tt0315313,The Borrowers,MOVIE,family,CA,1973.0,81.0,5.4,329.0,1.618,6.3
6724,6724,tm189075,tt0315313,The Borrowers,MOVIE,family,US,1973.0,81.0,5.4,329.0,1.618,6.3
6725,6725,tm189075,tt0315313,The Borrowers,MOVIE,fantasy,CA,1973.0,81.0,5.4,329.0,1.618,6.3
6726,6726,tm189075,tt0315313,The Borrowers,MOVIE,fantasy,US,1973.0,81.0,5.4,329.0,1.618,6.3
6727,6727,tm189124,tt0107088,The Hawk,MOVIE,drama,GB,1993.0,88.0,5.5,418.0,1.212,5.7
6728,6728,tm189124,tt0107088,The Hawk,MOVIE,thriller,GB,1993.0,88.0,5.5,418.0,1.212,5.7
6729,6729,tm189140,tt0150251,Daag,MOVIE,drama,IN,1973.0,146.0,6.8,488.0,0.8890000000000001,
6730,6730,tm189140,tt0150251,Daag,MOVIE,music,IN,1973.0,146.0,6.8,488.0,0.8890000000000001,
6731,6731,tm189140,tt0150251,Daag,MOVIE,romance,IN,1973.0,146.0,6.8,488.0,0.8890000000000001,
6732,6732,tm189154,tt0068187,Alabama's Ghost,MOVIE,horror,US,1973.0,96.0,4.9,217.0,0.845,4.6
6733,6733,tm189181,tt0069807,Blue Summer,MOVIE,comedy,US,1973.0,79.0,4.5,334.0,1.724,4.5
6734,6734,tm189181,tt0069807,Blue Summer,MOVIE,drama,US,1973.0,79.0,4.5,334.0,1.724,4.5
6735,6735,tm189236,tt0106976,Fugitive Nights: Danger in the Desert,MOVIE,action,US,1993.0,95.0,5.6,129.0,1.132,
6736,6736,tm189236,tt0106976,Fugitive Nights: Danger in the Desert,MOVIE,thriller,US,1993.0,95.0,5.6,129.0,1.132,
6737,6737,tm189278,tt0108592,Once Upon a Time in China III,MOVIE,action,HK,1993.0,112.0,6.7,7042.0,12.872,6.400000000000001
6738,6738,tm189278,tt0108592,Once Upon a Time in China III,MOVIE,history,HK,1993.0,112.0,6.7,7042.0,12.872,6.400000000000001
6739,6739,tm189289,tt0069994,Don't Look in the Basement,MOVIE,horror,US,1973.0,89.0,4.9,3129.0,3.933,5.0
6740,6740,tm189289,tt0069994,Don't Look in the Basement,MOVIE,thriller,US,1973.0,89.0,4.9,3129.0,3.933,5.0
6741,6741,tm189309,tt0115977,The Criminal Mind,MOVIE,action,US,1993.0,93.0,3.6,104.0,0.698,2.0
6742,6742,tm189309,tt0115977,The Criminal Mind,MOVIE,crime,US,1993.0,93.0,3.6,104.0,0.698,2.0
6743,6743,tm189309,tt0115977,The Criminal Mind,MOVIE,drama,US,1993.0,93.0,3.6,104.0,0.698,2.0
6744,6744,tm18938,tt0038451,Danny Boy,MOVIE,action,US,1945.0,64.0,6.4,65.0,0.627,
6745,6745,tm18938,tt0038451,Danny Boy,MOVIE,drama,US,1945.0,64.0,6.4,65.0,0.627,
6746,6746,tm18938,tt0038451,Danny Boy,MOVIE,family,US,1945.0,64.0,6.4,65.0,0.627,
6747,6747,tm18938,tt0038451,Danny Boy,MOVIE,war,US,1945.0,64.0,6.4,65.0,0.627,
6748,6748,tm189581,tt0070908,The Werewolf of Washington,MOVIE,comedy,US,1973.0,90.0,4.0,1015.0,3.546,3.6999999999999997
6749,6749,tm189581,tt0070908,The Werewolf of Washington,MOVIE,horror,US,1973.0,90.0,4.0,1015.0,3.546,3.6999999999999997
6750,6750,tm189602,tt0094995,Demon City Shinjuku,MOVIE,action,JP,1988.0,80.0,6.4,2960.0,3.688,6.2
6751,6751,tm189602,tt0094995,Demon City Shinjuku,MOVIE,animation,JP,1988.0,80.0,6.4,2960.0,3.688,6.2
6752,6752,tm189602,tt0094995,Demon City Shinjuku,MOVIE,fantasy,JP,1988.0,80.0,6.4,2960.0,3.688,6.2
6753,6753,tm189602,tt0094995,Demon City Shinjuku,MOVIE,horror,JP,1988.0,80.0,6.4,2960.0,3.688,6.2
6754,6754,tm18962,tt0093036,Flowers in the Attic,MOVIE,drama,US,1987.0,93.0,5.7,10154.0,10.182,6.3
6755,6755,tm18962,tt0093036,Flowers in the Attic,MOVIE,thriller,US,1987.0,93.0,5.7,10154.0,10.182,6.3
6756,6756,tm189810,tt0070656,Scream Blacula Scream,MOVIE,fantasy,US,1973.0,96.0,5.6,2689.0,4.486,6.2
6757,6757,tm189810,tt0070656,Scream Blacula Scream,MOVIE,horror,US,1973.0,96.0,5.6,2689.0,4.486,6.2
6758,6758,tm189836,tt0069897,Coffy,MOVIE,action,US,1973.0,90.0,6.799999999999999,11229.0,7.395,6.799999999999999
6759,6759,tm189836,tt0069897,Coffy,MOVIE,crime,US,1973.0,90.0,6.799999999999999,11229.0,7.395,6.799999999999999
